Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.9889321582291453,0.9920648598223104,0.964922329608874
mvtec_pill,0.9899072558647026,0.9798326877766609,0.9334630445036123
mvtec_capsule,0.9776625448743518,0.9883956983339537,0.9272602990367637
mvtec_carpet,0.9947833065810594,0.9793301947787734,0.8645243893017331
mvtec_grid,0.9991645781119465,0.9837569240566216,0.9470153909477066
mvtec_tile,0.9981962481962483,0.9409549336347123,0.8862250377594372
mvtec_wood,1.0,0.9372913023718354,0.8343103835115797
mvtec_zipper,0.9994747899159664,0.9801826093116873,0.9359602639450345
mvtec_cable,0.9990629685157421,0.9735437134496858,0.9069458021114603
mvtec_toothbrush,1.0,0.984544634775269,0.929065423402606
mvtec_transistor,1.0,0.9709423340639309,0.9448785578991573
mvtec_metal_nut,1.0,0.9858594748471515,0.8833857630147969
mvtec_bottle,1.0,0.9796762937066034,0.9062082138861799
mvtec_hazelnut,0.9960714285714286,0.9769884660542105,0.8126457721439787
mvtec_leather,1.0,0.9916931243981834,0.9676653657043819
Mean,0.996217018590706,0.9763371500921061,0.9096317357851536
